Country Code,Country Name,Gender,Date,Unemployement Rate
AUS,Australia,ALL,1/1/2000,6.77
AUS,Australia,ALL,2/1/2000,6.62
AUS,Australia,ALL,3/1/2000,6.57
AUS,Australia,ALL,4/1/2000,6.38
AUS,Australia,ALL,5/1/2000,6.42
AUS,Australia,ALL,6/1/2000,6.12
AUS,Australia,ALL,7/1/2000,5.95
AUS,Australia,ALL,8/1/2000,6.05
AUS,Australia,ALL,9/1/2000,5.96
AUS,Australia,ALL,10/1/2000,6.01
AUS,Australia,ALL,11/1/2000,6.26
AUS,Australia,ALL,12/1/2000,6.24
AUS,Australia,ALL,1/1/2001,6.14
AUS,Australia,ALL,2/1/2001,6.5
AUS,Australia,ALL,3/1/2001,6.46
AUS,Australia,ALL,4/1/2001,6.78
AUS,Australia,ALL,5/1/2001,6.89
AUS,Australia,ALL,6/1/2001,6.93
AUS,Australia,ALL,7/1/2001,6.88
AUS,Australia,ALL,8/1/2001,6.88
AUS,Australia,ALL,9/1/2001,6.84
AUS,Australia,ALL,10/1/2001,7.19
AUS,Australia,ALL,11/1/2001,6.88
AUS,Australia,ALL,12/1/2001,6.86
AUS,Australia,ALL,1/1/2002,6.91
AUS,Australia,ALL,2/1/2002,6.54
AUS,Australia,ALL,3/1/2002,6.43
AUS,Australia,ALL,4/1/2002,6.35
AUS,Australia,ALL,5/1/2002,6.37
AUS,Australia,ALL,6/1/2002,6.5
AUS,Australia,ALL,7/1/2002,6.18
AUS,Australia,ALL,8/1/2002,6.35
AUS,Australia,ALL,9/1/2002,6.31
AUS,Australia,ALL,10/1/2002,6.13
AUS,Australia,ALL,11/1/2002,6.16
AUS,Australia,ALL,12/1/2002,6.18
AUS,Australia,ALL,1/1/2003,6.08
AUS,Australia,ALL,2/1/2003,5.96
AUS,Australia,ALL,3/1/2003,6.13
AUS,Australia,ALL,4/1/2003,6.03
AUS,Australia,ALL,5/1/2003,6.07
AUS,Australia,ALL,6/1/2003,6.06
AUS,Australia,ALL,7/1/2003,6.13
AUS,Australia,ALL,8/1/2003,5.82
AUS,Australia,ALL,9/1/2003,5.78
AUS,Australia,ALL,10/1/2003,5.78
AUS,Australia,ALL,11/1/2003,5.66
AUS,Australia,ALL,12/1/2003,5.68
AUS,Australia,ALL,1/1/2004,5.53
AUS,Australia,ALL,2/1/2004,5.64
AUS,Australia,ALL,3/1/2004,5.44
AUS,Australia,ALL,4/1/2004,5.51
AUS,Australia,ALL,5/1/2004,5.34
AUS,Australia,ALL,6/1/2004,5.46
