country_name,year,avg_rate
Australia,2011,5.08
Australia,2012,5.23
Australia,2013,5.67
Australia,2014,6.06
Australia,2015,6.06
Australia,2016,5.71
Australia,2017,5.59
Australia,2018,5.29
Australia,2019,5.16
Australia,2020,6.49
Australia,2021,5.24
Austria,2011,4.88
Austria,2012,5.22
Austria,2013,5.72
Austria,2014,6.03
Austria,2015,6.18
Austria,2016,6.47
Austria,2017,5.93
Austria,2018,5.21
Austria,2019,4.82
Austria,2020,6.1
Austria,2021,6.46
Belgium,2011,7.15
Belgium,2012,7.57
Belgium,2013,8.46
Belgium,2014,8.56
Belgium,2015,8.51
Belgium,2016,7.84
Belgium,2017,7.12
Belgium,2018,5.98
Belgium,2019,5.37
Belgium,2020,5.56
Belgium,2021,6.42
Canada,2011,7.55
Canada,2012,7.38
Canada,2013,7.13
Canada,2014,6.97
Canada,2015,6.94
Canada,2016,7.05
Canada,2017,6.38
Canada,2018,5.91
Canada,2019,5.73
Canada,2020,9.6
Canada,2021,7.86
Chile,2011,7.32
Chile,2012,6.58
Chile,2013,6.13
Chile,2014,6.42
Chile,2015,6.37
Chile,2016,6.68
Chile,2017,6.97
Chile,2018,7.36
Chile,2019,7.24
Chile,2020,10.78
Chile,2021,9.25
Colombia,2011,10.88
Colombia,2012,10.43
Colombia,2013,9.7
Colombia,2014,9.15
Colombia,2015,8.95
Colombia,2016,9.26
Colombia,2017,9.42
Colombia,2018,9.72
Colombia,2019,10.54
Colombia,2020,16.12
Colombia,2021,13.97
"Costa Rica",2011,10.22
"Costa Rica",2012,10.15
"Costa Rica",2013,9.49
"Costa Rica",2014,9.58
"Costa Rica",2015,9.61
"Costa Rica",2016,9.47
"Costa Rica",2017,9.17
"Costa Rica",2018,10.19
"Costa Rica",2019,11.78
"Costa Rica",2020,19.64
"Costa Rica",2021,17.17
Czechia,2011,6.72
Czechia,2012,6.97
Czechia,2013,6.98
Czechia,2014,6.12
Czechia,2015,5.04
Czechia,2016,3.96
Czechia,2017,2.89
Czechia,2018,2.25
Czechia,2019,2.02
Czechia,2020,2.55
Czechia,2021,3
Germany,2011,5.86
Germany,2012,5.37
Germany,2013,5.24
Germany,2014,5.01
Germany,2015,4.62
Germany,2016,4.16
Germany,2017,3.76
Germany,2018,3.4
Germany,2019,3.17
Germany,2020,3.86
Germany,2021,3.61
Denmark,2011,7.77
Denmark,2012,7.81
Denmark,2013,7.38
Denmark,2014,6.85
Denmark,2015,6.29
Denmark,2016,6.02
Denmark,2017,5.82
Denmark,2018,5.09
Denmark,2019,5.05
Denmark,2020,5.66
Denmark,2021,5.3
Spain,2011,21.42
Spain,2012,24.84
Spain,2013,26.12
Spain,2014,24.46
Spain,2015,22.04
Spain,2016,19.63
Spain,2017,17.22
Spain,2018,15.25
Spain,2019,14.11
Spain,2020,15.55
Spain,2021,15.26
Estonia,2011,12.32
Estonia,2012,9.89
Estonia,2013,8.49
Estonia,2014,7.33
Estonia,2015,6.15
Estonia,2016,6.7
Estonia,2017,5.76
Estonia,2018,5.52
Estonia,2019,4.53
Estonia,2020,6.77
Estonia,2021,6.43
Finland,2011,7.97
Finland,2012,7.83
Finland,2013,8.29
Finland,2014,8.78
Finland,2015,9.43
Finland,2016,8.93
Finland,2017,8.74
Finland,2018,7.42
Finland,2019,6.74
Finland,2020,7.76
Finland,2021,7.87
France,2011,9.22
France,2012,9.77
France,2013,10.3
France,2014,10.27
France,2015,10.34
France,2016,10.04
France,2017,9.45
France,2018,9.01
France,2019,8.43
France,2020,8.02
France,2021,8.04
"United Kingdom",2011,8.1
"United Kingdom",2012,7.99
"United Kingdom",2013,7.59
"United Kingdom",2014,6.19
"United Kingdom",2015,5.37
"United Kingdom",2016,4.9
"United Kingdom",2017,4.39
"United Kingdom",2018,4.08
"United Kingdom",2019,3.84
"United Kingdom",2020,4.54
