country_name,month,avg_rate,previous_year_avg_rate,is_higher_than_prev_year
"United States of America",2011-09-01,9,9.5,0
"United States of America",2011-10-01,8.8,9.4,0
"United States of America",2011-11-01,8.6,9.8,0
"United States of America",2011-12-01,8.5,9.3,0
"United States of America",2012-01-01,8.3,9.1,0
"United States of America",2012-02-01,8.3,9,0
"United States of America",2012-03-01,8.2,9,0
"United States of America",2012-04-01,8.2,9.1,0
"United States of America",2012-05-01,8.2,9,0
"United States of America",2012-06-01,8.2,9.1,0
"United States of America",2012-07-01,8.2,9,0
"United States of America",2012-08-01,8.1,9,0
"United States of America",2012-09-01,7.8,9,0
"United States of America",2012-10-01,7.8,8.8,0
"United States of America",2012-11-01,7.7,8.6,0
"United States of America",2012-12-01,7.9,8.5,0
"United States of America",2013-01-01,8,8.3,0
"United States of America",2013-02-01,7.7,8.3,0
"United States of America",2013-03-01,7.5,8.2,0
"United States of America",2013-04-01,7.6,8.2,0
"United States of America",2013-05-01,7.5,8.2,0
"United States of America",2013-06-01,7.5,8.2,0
"United States of America",2013-07-01,7.3,8.2,0
"United States of America",2013-08-01,7.2,8.1,0
"United States of America",2013-09-01,7.2,7.8,0
"United States of America",2013-10-01,7.2,7.8,0
"United States of America",2013-11-01,6.9,7.7,0
"United States of America",2013-12-01,6.7,7.9,0
"United States of America",2014-01-01,6.6,8,0
"United States of America",2014-02-01,6.7,7.7,0
"United States of America",2014-03-01,6.7,7.5,0
"United States of America",2014-04-01,6.2,7.6,0
"United States of America",2014-05-01,6.3,7.5,0
"United States of America",2014-06-01,6.1,7.5,0
"United States of America",2014-07-01,6.2,7.3,0
"United States of America",2014-08-01,6.1,7.2,0
"United States of America",2014-09-01,5.9,7.2,0
"United States of America",2014-10-01,5.7,7.2,0
"United States of America",2014-11-01,5.8,6.9,0
"United States of America",2014-12-01,5.6,6.7,0
"United States of America",2015-01-01,5.7,6.6,0
"United States of America",2015-02-01,5.5,6.7,0
"United States of America",2015-03-01,5.4,6.7,0
"United States of America",2015-04-01,5.4,6.2,0
"United States of America",2015-05-01,5.6,6.3,0
"United States of America",2015-06-01,5.3,6.1,0
"United States of America",2015-07-01,5.2,6.2,0
"United States of America",2015-08-01,5.1,6.1,0
"United States of America",2015-09-01,5,5.9,0
"United States of America",2015-10-01,5,5.7,0
"United States of America",2015-11-01,5.1,5.8,0
"United States of America",2015-12-01,5,5.6,0
"United States of America",2016-01-01,4.8,5.7,0
"United States of America",2016-02-01,4.9,5.5,0
"United States of America",2016-03-01,5,5.4,0
"United States of America",2016-04-01,5.1,5.4,0
"United States of America",2016-05-01,4.8,5.6,0
"United States of America",2016-06-01,4.9,5.3,0
"United States of America",2016-07-01,4.8,5.2,0
"United States of America",2016-08-01,4.9,5.1,0
"United States of America",2016-09-01,5,5,0
"United States of America",2016-10-01,4.9,5,0
"United States of America",2016-11-01,4.7,5.1,0
"United States of America",2016-12-01,4.7,5,0
"United States of America",2017-01-01,4.7,4.8,0
"United States of America",2017-02-01,4.6,4.9,0
"United States of America",2017-03-01,4.4,5,0
"United States of America",2017-04-01,4.4,5.1,0
"United States of America",2017-05-01,4.4,4.8,0
"United States of America",2017-06-01,4.3,4.9,0
"United States of America",2017-07-01,4.3,4.8,0
"United States of America",2017-08-01,4.4,4.9,0
"United States of America",2017-09-01,4.3,5,0
"United States of America",2017-10-01,4.2,4.9,0
"United States of America",2017-11-01,4.2,4.7,0
"United States of America",2017-12-01,4.1,4.7,0
"United States of America",2018-01-01,4,4.7,0
"United States of America",2018-02-01,4.1,4.6,0
"United States of America",2018-03-01,4,4.4,0
"United States of America",2018-04-01,4,4.4,0
"United States of America",2018-05-01,3.8,4.4,0
"United States of America",2018-06-01,4,4.3,0
"United States of America",2018-07-01,3.8,4.3,0
"United States of America",2018-08-01,3.8,4.4,0
"United States of America",2018-09-01,3.7,4.3,0
"United States of America",2018-10-01,3.8,4.2,0
"United States of America",2018-11-01,3.8,4.2,0
"United States of America",2018-12-01,3.9,4.1,0
"United States of America",2019-01-01,4,4,0
"United States of America",2019-02-01,3.8,4.1,0
"United States of America",2019-03-01,3.8,4,0
"United States of America",2019-04-01,3.6,4,0
"United States of America",2019-05-01,3.6,3.8,0
"United States of America",2019-06-01,3.6,4,0
"United States of America",2019-07-01,3.7,3.8,0
"United States of America",2019-08-01,3.7,3.8,0
"United States of America",2019-09-01,3.5,3.7,0
"United States of America",2019-10-01,3.6,3.8,0
"United States of America",2019-11-01,3.6,3.8,0
"United States of America",2019-12-01,3.6,3.9,0
"United States of America",2020-01-01,3.5,4,0
"United States of America",2020-02-01,3.5,3.8,0
"United States of America",2020-03-01,4.4,3.8,1
"United States of America",2020-04-01,14.7,3.6,1
"United States of America",2020-05-01,13.2,3.6,1
"United States of America",2020-06-01,11,3.6,1
"United States of America",2020-07-01,10.2,3.7,1
"United States of America",2020-08-01,8.4,3.7,1
"United States of America",2020-09-01,7.9,3.5,1
"United States of America",2020-10-01,6.9,3.6,1
"United States of America",2020-11-01,6.7,3.6,1
"United States of America",2020-12-01,6.7,3.6,1
"United States of America",2021-01-01,6.4,3.5,1
"United States of America",2021-02-01,6.2,3.5,1
"United States of America",2021-03-01,6,4.4,1
"United States of America",2021-04-01,6,14.7,0
"United States of America",2021-05-01,5.8,13.2,0
"United States of America",2021-06-01,5.9,11,0
"United States of America",2021-07-01,5.4,10.2,0
"United States of America",2021-08-01,5.2,8.4,0
"United States of America",2021-09-01,4.7,7.9,0
